"article_id","article_version","last_updated","icd10_pcs_code_group","paragraph"
"54982","28","2025-05-09 14:48:53.240000000","1",""
"55001","67","2025-12-22 16:47:57.990000000","1","<p>N/A</p>"
"55028","45","2025-10-08 13:33:18.250000000","1","<p>NA</p>"
"55044","18","2023-11-22 19:02:01.370000000","1",""
"55056","14","2023-11-17 12:43:34.087000000","1",""
"55058","7","2023-11-16 19:29:34.077000000","1",""
"55061","11","2023-11-08 19:07:21.960000000","1",""
"55069","26","2025-08-14 17:49:02.470000000","1",""
"55115","14","2023-11-22 15:20:48.830000000","1","<p>N/A</p>"
"55116","14","2023-11-22 15:21:21.863000000","1","<p>N/A</p>"
"55136","19","2024-01-24 13:36:42.907000000","1",""
"55146","15","2025-10-22 17:38:14.027000000","1",""
"55147","30","2024-09-17 12:22:14.093000000","1",""
"55161","23","2023-08-23 17:01:05.517000000","1",""
"55162","18","2024-07-24 17:41:33.403000000","1",""
"55169","15","2025-10-22 15:38:30.760000000","1",""
"55175","25","2025-12-23 19:00:35.997000000","1",""
"55193","14","2024-06-18 13:35:43.017000000","1",""
"55197","33","2024-03-20 14:46:01.217000000","1",""
"55200","37","2025-12-23 17:38:53.770000000","1",""
"55206","18","2023-11-20 17:27:56.733000000","1",""
"55210","15","2026-01-22 14:36:51.733000000","1",""
"55215","9","2023-11-16 19:23:06.713000000","1",""
"55224","35","2025-09-18 16:49:45.213000000","1",""
"55227","19","2025-08-14 17:32:58.583000000","1",""
"55229","46","2026-01-23 14:05:44.040000000","1",""
"55230","18","2025-12-23 17:56:22.913000000","1",""
"55231","17","2026-01-22 14:47:58.773000000","1",""
"55233","21","2024-09-17 14:09:15.763000000","1",""
"55235","15","2023-07-19 14:22:47.770000000","1",""
"55239","61","2026-01-02 19:04:28.703000000","1","<p>N/A</p>"
"55264","13","2023-11-22 16:47:04.123000000","1","<p>N/A</p>"
"55265","12","2023-11-22 16:47:25.310000000","1","<p>N/A</p>"
"55294","33","2025-08-29 14:09:45.287000000","1","<p>N/A</p>"
"55295","29","2025-08-29 14:08:57.423000000","1","<p>N/A</p>"
"55310","12","2025-08-28 12:06:50.787000000","1",""
"55315","17","2025-09-26 22:10:37.770000000","1",""
"55326","40","2023-11-16 19:26:40.470000000","1",""
"55336","49","2025-08-21 12:24:21.757000000","1",""
"55354","35","2023-06-05 13:31:53.543000000","1",""
"55426","123","2025-05-22 20:47:43.100000000","1",""
"55478","12","2023-11-08 19:17:03.297000000","1",""
"55503","5","2023-11-22 16:23:07.637000000","1",""
"55505","5","2023-11-22 16:22:29.047000000","1",""
"55530","35","2025-06-20 20:58:13.200000000","1",""
"55584","19","2023-11-08 19:11:50.353000000","1",""
"55595","16","2024-09-09 15:11:52.277000000","1","<p>N/A</p>"
"55596","12","2023-11-22 18:55:46.797000000","1","<p>N/A</p>"
"55597","23","2023-11-22 18:26:57.383000000","1","<p>N/A</p>"
"55600","16","2024-09-09 15:12:58.533000000","1","<p>N/A</p>"
"55601","12","2023-11-22 18:56:05.353000000","1","<p>N/A</p>"
"55602","23","2023-11-22 18:27:18.460000000","1","<p>N/A</p>"
"55621","15","2024-04-16 14:17:44.723000000","1",""
"55623","15","2023-11-22 18:53:25.267000000","1","<p>N/A</p>"
"55624","33","2024-03-15 16:08:50.830000000","1","<p>N/A</p>"
"55628","13","2023-11-22 18:53:57.557000000","1","<p>N/A</p>"
"55639","51","2025-11-18 20:23:25.040000000","1",""
"55672","25","2023-11-20 14:31:32.263000000","1",""
"55675","25","2023-11-16 19:14:19.883000000","1",""
"55695","21","2023-05-23 12:49:05.620000000","1",""
"55703","25","2024-06-18 14:15:31.167000000","1",""
"55709","11","2024-04-16 15:08:02.710000000","1",""
"55710","16","2025-12-23 18:12:33.210000000","1",""
"55711","23","2025-09-18 19:52:22.377000000","1","<p>N/A</p>"
"55712","21","2025-09-18 19:56:50.137000000","1","<p>N/A</p>"
"55715","12","2025-01-31 19:32:23.040000000","1",""
"55716","11","2023-11-08 15:14:20.603000000","1",""
"55717","26","2025-08-18 16:43:49.863000000","1",""
"55719","15","2023-11-16 19:28:20.057000000","1",""
"55723","44","2023-01-20 12:02:28.333000000","1",""
"55738","17","2023-06-22 12:58:52.287000000","1",""
"55754","22","2023-11-14 16:22:56.440000000","1",""
"55769","14","2023-11-22 16:09:29.337000000","1",""
"55774","13","2025-06-20 18:55:24.617000000","1",""
"55818","26","2026-01-23 14:13:19.557000000","1",""
"55835","15","2025-02-21 19:20:58.073000000","1",""
"55909","46","2025-11-18 19:04:13.430000000","1",""
"55913","9","2024-12-17 15:26:40.687000000","1",""
"55937","42","2025-09-26 14:12:03.683000000","1",""
"55951","17","2025-08-22 17:41:11.243000000","1",""
"55958","6","2024-02-28 15:20:28.157000000","1",""
"56006","19","2023-12-21 20:09:49.680000000","1",""
"56008","11","2024-11-13 18:17:30.637000000","1",""
"56025","16","2023-11-08 18:56:50.890000000","1",""
"56027","14","2025-12-23 00:21:15.383000000","1",""
"56034","39","2025-09-25 15:58:53.167000000","1",""
"56050","14","2025-01-31 17:18:53.787000000","1",""
"56065","23","2022-11-15 01:52:20.063000000","1",""
"56071","23","2024-12-23 12:02:30.877000000","1",""
"56072","13","2024-01-23 18:41:24.430000000","1",""
"56083","13","2025-07-29 21:06:32.260000000","1",""
"56103","13","2024-01-23 13:23:59.690000000","1",""
"56104","15","2024-01-23 13:24:38.460000000","1",""
"56106","14","2024-01-30 20:17:52.863000000","1",""
"56112","6","2023-11-14 16:42:55.747000000","1",""
"56152","35","2025-09-18 16:59:29.390000000","1",""
"56157","17","2026-01-20 20:41:32.580000000","1",""
"56159","22","2025-02-21 19:47:22.553000000","1",""
"56175","14","2025-02-21 19:24:38.090000000","1",""
"56178","20","2023-11-20 14:25:43.650000000","1",""
"56198","10","2023-11-18 23:18:42.347000000","1",""
"56199","122","2025-09-15 19:25:12.510000000","1",""
"56232","34","2025-09-17 16:31:14.307000000","1",""
"56273","28","2025-08-22 18:58:45.810000000","1",""
"56287","18","2024-05-31 13:37:46.997000000","1",""
"56289","13","2025-09-15 17:14:25.383000000","1",""
"56326","27","2023-02-22 21:51:03.387000000","1","<p><p style=""margin-top: 0in; background: white;""><span style=""font-size: 10.5pt; font-family: 'Verdana',sans-serif; color: #212529;"">The following ICD-10 PCS Codes include both the Part A insertion and removal codes.</span></p></p>"
"56333","11","2023-07-19 14:40:42.810000000","1",""
"56335","14","2025-04-25 18:44:23.663000000","1",""
"56340","31","2025-06-20 18:56:45.400000000","1","<p><span style=""line-height: 107%;"">The following ICD-10 PCS Codes include both the Part A insertion and removal codes.</span></p>
<p><span style=""line-height: 107%;"">Procedure code 02PAXMZ remains valid until 9/30/2021. This code will not be valid for dates of service October1, 2021 and forward </span></p>"
"56343","13","2025-04-09 16:57:48.807000000","1","<p><span style=""line-height: 115%;"">The following ICD-10 PCS Codes include both the Part A insertion, removal and revision codes.</span></p>"
"56346","22","2025-04-29 15:21:51.740000000","1",""
"56380","56","2025-08-26 12:15:01.267000000","1",""
"56389","36","2025-08-21 14:33:52.983000000","1",""
"56390","11","2023-01-10 14:47:11.913000000","1",""
"56391","37","2025-12-24 19:58:22.120000000","1",""
"56394","27","2025-01-23 15:03:40.283000000","1",""
"56395","17","2024-08-21 18:36:38.750000000","1",""
