article_id,article_version,related_num,r_ncd_id,r_ncd_version,last_updated
53026,65,1,57,3,2015-10-02 17:44:41.300000000
53028,56,1,57,1,2025-04-29 23:04:17.347000000
53028,58,1,57,3,2015-10-02 17:46:09.177000000
53028,59,1,57,3,2015-10-02 17:46:09.177000000
53032,126,1,0,1,2025-04-29 23:04:17.350000000
53032,129,1,0,1,2025-04-29 23:04:17.350000000
53032,132,1,0,1,2025-04-29 23:04:17.350000000
53032,134,1,0,1,2025-04-29 23:04:17.350000000
53032,138,1,0,1,2025-04-29 23:04:17.350000000
53033,120,1,0,1,2025-04-29 23:04:17.353000000
53033,123,1,0,1,2025-04-29 23:04:17.357000000
53033,126,1,0,1,2025-04-29 23:04:17.357000000
53033,128,1,0,1,2025-04-29 23:04:17.357000000
53033,132,1,0,1,2025-04-29 23:04:17.357000000
53034,7,1,0,1,2025-04-29 23:04:17.360000000
53034,8,1,0,1,2025-04-29 23:04:17.360000000
53043,14,1,0,1,2025-04-29 23:04:17.930000000
53046,21,1,0,1,2025-04-29 23:04:17.360000000
53047,17,1,0,1,2025-04-29 23:04:17.933000000
53049,96,1,223,2,2017-08-22 18:24:19.800000000
53049,98,1,223,1,2025-04-29 23:04:16.617000000
53049,99,1,223,1,2025-04-29 23:04:16.617000000
53052,47,1,0,1,2025-04-29 23:04:17.933000000
53052,48,1,0,1,2025-04-29 23:04:17.933000000
53053,14,1,0,1,2025-04-29 23:04:17.937000000
53055,13,1,0,1,2025-04-29 23:04:17.937000000
53056,15,1,0,1,2025-04-29 23:04:17.940000000
53057,61,1,22,1,2025-04-29 23:04:17.940000000
53057,61,2,94,1,2025-04-29 23:04:17.943000000
53057,63,1,22,1,2025-04-29 23:04:17.940000000
53057,63,2,94,1,2025-04-29 23:04:17.943000000
53058,59,1,0,1,2025-04-29 23:04:17.943000000
53058,61,1,0,1,2025-04-29 23:04:17.943000000
53060,44,1,0,1,2025-04-29 23:04:17.947000000
53060,48,1,0,1,2025-04-29 23:04:17.947000000
53064,81,1,22,1,2025-04-29 23:04:17.947000000
53064,81,2,94,1,2025-04-29 23:04:17.950000000
53064,81,3,231,1,2025-04-29 23:04:17.950000000
53064,81,4,131,1,2025-04-29 23:04:17.953000000
53064,83,1,22,1,2025-04-29 23:04:17.947000000
53064,83,2,94,1,2025-04-29 23:04:17.950000000
53064,83,3,231,1,2025-04-29 23:04:17.950000000
53064,83,4,131,1,2025-04-29 23:04:17.953000000
53065,70,1,22,1,2025-04-29 23:04:17.953000000
53065,70,2,175,1,2025-04-29 23:04:17.953000000
53065,70,3,94,1,2025-04-29 23:04:17.957000000
53065,70,4,231,1,2025-04-29 23:04:17.957000000
53065,70,5,131,1,2025-04-29 23:04:17.960000000
53065,72,1,22,1,2025-04-29 23:04:17.953000000
